id,customer,order_date,ship_date,product_id,sku,price,quantity,discounted_price,title,description
1,600,04/20/2017,05/02/2017,1000055,101591922267,4.5,1.0,3.92,different gallon,
1,600,04/20/2017,05/02/2017,1000153,164451986229,4.5,1.0,3.92,unwilling eave,
1,600,04/20/2017,05/02/2017,1000066,118675935929,33.99,2.0,32.53,stingy sharon,
2,47,04/20/2017,04/22/2017,1000152,130640064374,8.99,1.0,7.06,armed insulation,
2,47,04/20/2017,04/22/2017,1000148,104553406468,12.99,1.0,10.21,original explanation,
3,481,04/20/2017,05/01/2017,1000048,138479070674,12.99,1.0,12.43,isolated death,
4,963,04/20/2017,04/30/2017,1000095,109343951269,4.5,1.0,3.92,harsh yogurt,
4,963,04/20/2017,04/30/2017,1000268,184636131970,25.0,1.0,18.57,pleasant rainmaker,
5,74,04/20/2017,04/29/2017,1000256,167958516470,19.99,1.0,14.85,inadequate faucet,
6,673,04/21/2017,04/23/2017,1000012,167337524450,8.99,2.0,8.22,smart edward,
6,673,04/21/2017,04/23/2017,1000150,186880256583,35.0,1.0,26.0,conceptual cobweb,
7,236,04/21/2017,05/02/2017,1000019,172490376023,33.99,1.0,23.79,tan broker,
7,236,04/21/2017,05/02/2017,1000258,167784852301,35.0,3.0,24.5,big steamroller,
7,236,04/21/2017,05/02/2017,1000263,121259905065,12.99,1.0,12.43,puzzled sandra,
8,244,04/21/2017,05/01/2017,1000099,400671800721,15.0,2.0,12.43,zany campaign,Replacement figurines
8,244,04/21/2017,05/01/2017,1000144,221743159727,19.99,1.0,13.99,comfortable pancreas Extension 2,
9,84,04/21/2017,04/27/2017,1000111,132362551004,10.0,1.0,7.86,alert doubling,
10,399,04/22/2017,04/25/2017,1000150,186880256583,35.0,1.0,24.5,conceptual cobweb,
11,390,04/22/2017,04/30/2017,1000167,399902164361,7.5,2.0,5.57,dual cactus,a hat for dual cactus
11,390,04/22/2017,04/30/2017,1000053,493711205605,5.0,2.0,4.79,mad ability,Game Dices for rolls
11,390,04/22/2017,04/30/2017,1000168,370461789065,10.0,1.0,9.14,planned casserole,A shirt for planned casserole
11,390,04/22/2017,04/30/2017,1000255,391717790316,5.0,1.0,3.93,western scheme,socks for western scheme
12,225,04/22/2017,05/04/2017,1000153,164451986229,4.5,1.0,4.5,unwilling eave,
12,225,04/22/2017,05/04/2017,1000109,115153344249,8.99,1.0,8.6,white blade,
13,778,04/22/2017,05/03/2017,1000056,305702508275,15.0,2.0,13.07,brilliant dame,sunglasses for brilliant dame
14,525,04/22/2017,04/25/2017,1000222,462230125000,5.0,1.0,5.0,turkish lynx,Game Dices for rolls
14,525,04/22/2017,04/25/2017,1000248,428113958740,5.0,1.0,3.71,flying loaf,Game Dices for rolls
14,525,04/22/2017,04/25/2017,1000144,376006796654,7.5,2.0,6.54,comfortable pancreas,a hat for comfortable pancreas
14,525,04/22/2017,04/25/2017,1000048,138479070674,12.99,1.0,10.76,isolated death,
14,525,04/22/2017,04/25/2017,1000058,188156753317,9.99,3.0,7.85,excellent indication,
15,36,04/22/2017,04/28/2017,1000079,118229850449,25.0,1.0,25.0,dull chairlift,
15,36,04/22/2017,04/28/2017,1000263,121259905065,12.99,1.0,12.99,puzzled sandra,
16,438,04/22/2017,04/25/2017,1000258,167784852301,35.0,2.0,30.5,big steamroller,
17,30,04/22/2017,04/29/2017,1000095,109343951269,4.5,1.0,4.31,harsh yogurt,
18,722,04/22/2017,05/05/2017,1000130,177897644317,24.95,2.0,17.46,careful crack,
18,722,04/22/2017,05/05/2017,1000211,132132079206,15.0,1.0,15.0,prominent brazil,
18,722,04/22/2017,05/05/2017,1000153,164451986229,4.5,1.0,4.11,unwilling eave,
18,722,04/22/2017,05/05/2017,1000216,138812386935,19.99,2.0,19.13,soft bike,
19,615,04/22/2017,04/30/2017,1000069,175288466804,15.0,2.0,14.36,cooperative courage,
20,725,04/22/2017,05/01/2017,1000058,188156753317,9.99,1.0,8.28,excellent indication,
21,483,04/22/2017,05/03/2017,1000155,195722202378,15.0,1.0,11.79,dynamic eyeball,
21,483,04/22/2017,05/03/2017,1000244,185407492438,35.0,2.0,33.5,uncomfortable mechanic,
21,483,04/22/2017,05/03/2017,1000082,159929577929,15.0,2.0,14.36,reliable nephew,
22,112,04/22/2017,05/04/2017,1000111,132362551004,10.0,1.0,8.29,alert doubling,
23,11,04/23/2017,04/30/2017,1000258,167784852301,35.0,1.0,33.5,big steamroller,
24,989,04/23/2017,05/05/2017,1000268,184636131970,25.0,1.0,18.57,pleasant rainmaker,
24,989,04/23/2017,05/05/2017,1000166,188160550480,4.5,1.0,4.5,dangerous bolero,
24,989,04/23/2017,05/05/2017,1000148,104553406468,12.99,1.0,9.09,original explanation,
25,816,04/23/2017,05/03/2017,1000066,118675935929,33.99,1.0,33.99,stingy sharon,
25,816,04/23/2017,05/03/2017,1000163,189648453939,19.99,1.0,19.13,violent eyelid,
25,816,04/23/2017,05/03/2017,1000095,109343951269,4.5,2.0,3.92,harsh yogurt,
26,305,04/23/2017,05/02/2017,1000192,160410725471,24.95,1.0,20.67,left foxglove,
26,305,04/23/2017,05/02/2017,1000166,188160550480,4.5,1.0,4.31,dangerous bolero,
26,305,04/23/2017,05/02/2017,1000128,172916175812,24.95,1.0,22.81,filthy search,
