Area_Id,Area_Name,County,State,State_Id,Country,ZipCode,population
2501,Des Moines,Polk,Iowa,IA,United States,50315,36097
2502,Huntsville,Walker,Texas,TX,United States,77320,36091
2503,Tyler,Smith,Texas,TX,United States,75701,36089
2504,Mira Loma,Riverside,California,CA,United States,91752,36087
2505,San Mateo,San Mateo,California,CA,United States,94404,36086
2506,Laurel,Howard,Maryland,MD,United States,20723,36082
2507,Harrisburg,Dauphin,Pennsylvania,PA,United States,17112,36080
2508,Wilmington,New Hanover,North Carolina,NC,United States,28409,36070
2509,Denver,Denver,Colorado,CO,United States,80211,36061
2510,Fairfield,Fairfield,Connecticut,CT,United States,06824,36058
2511,Anaheim,Orange,California,CA,United States,92807,36057
2512,Longmont,Boulder,Colorado,CO,United States,80503,36056
2513,Pullman,Whitman,Washington,WA,United States,99163,36052
2514,Glen Burnie,Anne Arundel,Maryland,MD,United States,21060,36049
2515,Glen Allen,Henrico,Virginia,VA,United States,23060,36042
2516,New Lenox,Will,Illinois,IL,United States,60451,36036
2517,Minneapolis,Hennepin,Minnesota,MN,United States,55414,36017
2518,Kokomo,Howard,Indiana,IN,United States,46902,36012
2519,Pineville,Rapides,Louisiana,LA,United States,71360,35994
2520,San Jose,Santa Clara,California,CA,United States,23831,35986
2521,Chester,Chesterfield,Virginia,VA,United States,95128,35986
2522,Searcy,White,Arkansas,AR,United States,72143,35978
2523,Iowa City,Johnson,Iowa,IA,United States,52240,35965
2524,Johnson City,Washington,Tennessee,TN,United States,37601,35963
2525,Leavenworth,Leavenworth,Kansas,KS,United States,66048,35952
2526,Watertown,Middlesex,Massachusetts,MA,United States,02472,35951
2527,Portland,Washington,Oregon,OR,United States,97224,35949
2528,Miami,Miami-Dade,Florida,FL,United States,33174,35938
2529,Willoughby,Lake,Ohio,OH,United States,44094,35926
2530,Cleveland,Cuyahoga,Ohio,OH,United States,44134,35923
2531,Jacksonville,Duval,Florida,FL,United States,32209,35919
2532,Valdosta,Lowndes,Georgia,GA,United States,31602,35916
2533,Troy,Miami,Ohio,OH,United States,45373,35913
2534,Los Angeles,Los Angeles,California,CA,United States,32780,35908
2535,Titusville,Brevard,Florida,FL,United States,90062,35908
2536,Trumbull,Fairfield,Connecticut,CT,United States,06611,35907
2537,Milton,Santa Rosa,Florida,FL,United States,32571,35905
2538,Everett,Snohomish,Washington,WA,United States,98203,35901
2539,Conroe,Montgomery,Texas,TX,United States,77304,35893
2540,Cleveland,Bradley,Tennessee,TN,United States,37312,35877
2541,Ardmore,Carter,Oklahoma,OK,United States,73401,35870
2542,Oakland Gardens,Queens,New York,NY,United States,11364,35866
2543,Huntington Beach,Orange,California,CA,United States,92649,35856
2544,Henrico,Henrico,Virginia,VA,United States,23228,35847
2545,Madison,Dane,Wisconsin,WI,United States,53703,35834
2546,Coeur D Alene,Kootenai,Idaho,ID,United States,83815,35832
2547,Cidra,Cidra,Puerto Rico,PR,United States,00739,35801
2548,Winchester,Clark,Kentucky,KY,United States,40391,35800
2549,Fort Myers,Lee,Florida,FL,United States,33908,35798
2550,Staunton,Augusta,Virginia,VA,United States,24401,35772
2551,Natick,Middlesex,Massachusetts,MA,United States,01760,35770
2552,Green Bay,Brown,Wisconsin,WI,United States,54311,35754
2553,Westminster,Adams,Colorado,CO,United States,80031,35753
2554,Reading,Berks,Pennsylvania,PA,United States,19606,35750
2555,Homestead,Miami-Dade,Florida,FL,United States,33030,35743
2556,Phoenix,Maricopa,Arizona,AZ,United States,85020,35742
2557,Gastonia,Gaston,North Carolina,NC,United States,28052,35741
2558,Portland,Multnomah,Oregon,OR,United States,97211,35738
2559,Fairhope,Baldwin,Alabama,AL,United States,36532,35728
2560,Camarillo,Ventura,California,CA,United States,93012,35726
2561,Auburndale,Polk,Florida,FL,United States,33823,35712
2562,Gastonia,Gaston,North Carolina,NC,United States,28056,35709
2563,Flagstaff,Coconino,Arizona,AZ,United States,86004,35703
2564,El Mirage,Maricopa,Arizona,AZ,United States,85335,35702
2565,Saint Petersburg,Pinellas,Florida,FL,United States,33710,35695
2566,Edwardsville,Madison,Illinois,IL,United States,62025,35691
2567,Atlanta,DeKalb,Georgia,GA,United States,21144,35680
2568,Severn,Anne Arundel,Maryland,MD,United States,30338,35680
2569,Niles,Berrien,Michigan,MI,United States,49120,35679
2570,Bel Air,Harford,Maryland,MD,United States,21014,35668
2571,Jacksonville,Duval,Florida,FL,United States,32207,35659
2572,Pomona,Los Angeles,California,CA,United States,91768,35634
2573,Miamisburg,Montgomery,Ohio,OH,United States,45342,35630
2574,Phoenix,Maricopa,Arizona,AZ,United States,85016,35627
2575,Henrico,Henrico,Virginia,VA,United States,23229,35626
2576,Moca,Moca,Puerto Rico,PR,United States,00676,35621
2577,Franklin,Milwaukee,Wisconsin,WI,United States,53132,35619
2578,Fort Wayne,Allen,Indiana,IN,United States,46835,35612
2579,Fayetteville,Cumberland,North Carolina,NC,United States,28304,35605
2580,Tacoma,Pierce,Washington,WA,United States,98444,35604
2581,Colorado Springs,El Paso,Colorado,CO,United States,80911,35597
2582,San Antonio,Bexar,Texas,TX,United States,78229,35589
2583,Spartanburg,Spartanburg,South Carolina,SC,United States,29301,35585
2584,Indianapolis,Marion,Indiana,IN,United States,46260,35582
2585,West Chicago,DuPage,Illinois,IL,United States,60185,35581
2586,Reno,Washoe,Nevada,NV,United States,89509,35558
2587,Manchester,Hartford,Connecticut,CT,United States,06040,35553
2588,Fayetteville,Cumberland,North Carolina,NC,United States,28311,35534
2589,Atlanta,Fulton,Georgia,GA,United States,30311,35523
2590,Port Orchard,Kitsap,Washington,WA,United States,98366,35523
2591,Council Bluffs,Pottawattamie,Iowa,IA,United States,51501,35511
2592,Philadelphia,Philadelphia,Pennsylvania,PA,United States,19115,35504
2593,Kansas City,Jackson,Missouri,MO,United States,64133,35504
2594,Stafford,Fort Bend,Texas,TX,United States,77477,35496
2595,Spring,Montgomery,Texas,TX,United States,77381,35487
2596,Oakland,Alameda,California,CA,United States,34232,35486
2597,Sarasota,Sarasota,Florida,FL,United States,94603,35486
2598,Clovis,Fresno,California,CA,United States,93612,35475
2599,Bellmore,Nassau,New York,NY,United States,11710,35473
2600,Placerville,El Dorado,California,CA,United States,95667,35452
2601,Buena Park,Orange,California,CA,United States,90621,35448
2602,Miami,Miami-Dade,Florida,FL,United States,33133,35445
2603,Dearborn Heights,Wayne,Michigan,MI,United States,48127,35441
2604,Grayslake,Lake,Illinois,IL,United States,60030,35440
2605,Media,Delaware,Pennsylvania,PA,United States,19063,35439
2606,Kankakee,Kankakee,Illinois,IL,United States,60901,35432
2607,Leesburg,Loudoun,Virginia,VA,United States,20175,35429
2608,Mount Airy,Surry,North Carolina,NC,United States,27030,35421
2609,Seattle,King,Washington,WA,United States,98155,35420
2610,Astoria,Queens,New York,NY,United States,11103,35419
2611,Oconomowoc,Waukesha,Wisconsin,WI,United States,53066,35414
2612,Bloomington,McLean,Illinois,IL,United States,61701,35411
2613,Palm Beach Gardens,Palm Beach,Florida,FL,United States,33410,35410
2614,Newport Beach,Orange,California,CA,United States,92660,35409
2615,Pompano Beach,Broward,Florida,FL,United States,33073,35407
2616,Glendale,Maricopa,Arizona,AZ,United States,85303,35403
2617,Phoenix,Maricopa,Arizona,AZ,United States,85040,35399
2618,Cape Coral,Lee,Florida,FL,United States,33990,35396
2619,Charleston,Charleston,South Carolina,SC,United States,29407,35385
2620,Oswego,Oswego,New York,NY,United States,13126,35369
2621,Texarkana,Bowie,Texas,TX,United States,75501,35352
2622,Rome,Floyd,Georgia,GA,United States,30161,35344
